,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq
Gradient Descent,55.46891537750487,56.209618840747055,14.841805726446664,0.8279811861187106,0.15356547720173452,0.4548835683154353,1.0,0.4,-0.6597179570166888,0.1913891612116047,1.2262389204407014
Basinhopping,55.46896398877348,56.20963772049806,14.84199745742502,0.8279778350716309,0.15355991884179498,0.45501137643291334,1.0,0.4,-0.659655187706344,0.19142707736375897,1.226238917013086
