,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq
Gradient Descent,71.8512664153036,71.4742148721238,16.829756152564972,1.0,0.13349579399365968,-0.17324350287372628,0.32461759690147823,1.0,-0.14494982008330284,0.05165378685237947,2.4324817731900272
Basinhopping,71.73806515183367,71.47137930554607,20.44374734765505,0.6431446380904756,0.14612868805029164,-1.4799618823371368,0.19003988779351466,0.4,-1.3877877649514436,0.04562644530636439,1.4370264995259892
