,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
3,49.403640967471624,50.064172849749276,18.408540492001304,0.2,0.007519172686782859,-0.6845475286013506,0.8502822203366783,0.5412146252844388,-7.461635624460653,0.9315368764675692,2.3644661239737528,True
2,49.39733753860318,50.05902872242321,18.58616440200136,0.2,0.010478048866623171,-1.052298972169696,0.8318092421791484,0.5606089038449619,-7.448572893624676,0.9014146938936664,2.3662477644293474,True
7,49.38965733603461,50.082683230967675,18.255875130972427,0.2038720511911828,0.011203746007904384,-1.1293936769292487,0.8455285322488022,0.5638884167975714,-4.2977294596804345,0.897968780742149,2.3669326071256966,True
6,49.40441068041958,50.059404330543266,18.909358085164243,0.2,0.009959705701335322,-1.1011453593863532,0.8163083444884107,0.5613789497786594,-7.442891469455604,0.9027585166348565,2.3671366582591022,True
4,49.41169570994231,50.06181797267943,18.78055785642359,0.7117475027361889,0.007117818199913689,-1.5464048433346527,0.8201420050010964,0.5256307886456602,-7.42318455913995,0.9301139854086747,2.367962296591037,True
5,49.4288183324159,50.0690907437251,18.495725238698057,0.9759213624581884,0.005231472652540715,-1.7206690086079826,0.8331558668732725,0.5214601314851584,-7.435294426945672,0.9499962426001013,2.3690121004758646,True
9,49.39615964557189,50.06194209511569,18.567304155514442,0.6516658203987653,0.013481285704932386,-1.4103985427141261,0.8214116554848828,0.5212160823071343,-4.272121462916695,0.8709572840052293,2.3691725252013516,True
8,49.41494771649245,50.06667128036174,18.277752424011258,0.8588401467486697,0.005677031772246439,-1.2783871470924935,0.8428817504183052,0.5252525948796263,-4.296336335132714,0.9468556884319627,2.3694463898524885,True
1,49.77764509004583,50.403261440440666,18.73740142666056,0.9999973967516482,0.005459617273800332,-0.2903126822307821,0.8204240263143007,0.5199586116753044,-1.1578213564974105,0.9463366356984103,2.4550270237546643,True
0,49.47350674172546,50.17109367589295,19.0098603752493,1.0,0.014475048475689542,0.09717326760819207,0.5268439640249837,1.0,0.004460977001167125,0.7160734742489779,7.170634429503765,True
