,mux,muy,Re,q,I,roll,bulge_dx,bulge_dy,bulge_scale,bulge_q,bulge_roll,bulge_frac,bulge_n,chisq,accepted
0,60.06075344286208,59.78986299610509,18.8241541039583,0.7650451131506943,0.2762677461532975,0.9187444013325492,-0.21625791516457188,0.3946327768866773,0.0,0.4,0.04558430006248959,0.08770317769080316,2.2230908044186344,nan,True
4,60.37230149521123,60.24910080233485,18.4030614424642,0.7248908561090157,0.02809714248748315,0.06144598153941784,0.027698504539074745,-0.049100804242892274,0.13180404097023998,0.6200807170903305,0.3935884724339667,0.24100146831694935,2.0709110040883045,1.3678757209391221,True
2,60.47710834592512,60.07015154969942,18.57065454144784,0.7157098207606225,0.027691813946689108,0.13580571017090393,-0.07710834630684946,0.12984844501681633,0.13101912593245674,0.6648360653978893,0.3442993473336683,0.2319746576680791,2.026374923318181,1.3741705392589578,True
5,60.54955875189772,60.23064819877142,16.826073961098942,0.7652887329516689,0.03062497776518441,0.12967784267517113,-0.14955875267064214,-0.03064820477030975,0.08586862995964847,1.7916276756892244,-1.2232633373470607,0.10299096986346976,2.598656712210824,1.407688333291793,True
8,61.117831127660345,60.675810295847974,16.916562944712283,0.8290480266447242,0.023033899463523196,-0.24087384890002028,-0.917831130894429,-0.47581029618747767,0.18144209876689676,1.967430873653969,-1.1797810656649266,0.1830506016608094,3.419080796472763,1.45364687303447,True
9,61.30034175509158,60.59642272452,17.03571282685382,1.133450885598799,0.0160163924714416,-0.36457857539893024,-0.9003418223326589,-0.3964227230427748,0.22904713380018013,1.7903381943444614,-1.3370749282513616,0.3036257875607024,3.4853435020176002,1.4919940241161245,True
7,60.98478063032408,60.65395684665722,17.617214656475873,0.885533291242685,0.017525749868000595,-0.7746470936164442,-0.4061093449622408,-0.3655731626622267,0.18430538677726255,2.2278805966790247,-1.0657726858372223,0.23249390313680166,2.818579504328422,1.8764183559301084,True
3,60.13181272159139,60.41662476395427,18.49415740002998,1.355626872708876,0.013925223563625347,-0.11975832323743651,-0.4260972093380502,0.5373825205939421,0.4305462283050234,0.40114516265674055,0.5094168010310922,0.5400616954628671,2.4459276238420022,4.212712295326252,False
6,60.7080395466263,60.20538644430332,16.888803777961936,0.4491017850056109,0.0365442378496152,-0.2742945618183667,-0.18178854874147224,0.3198835533202402,0.00460321198513708,1.8719092451590391,-1.4867519830803817,0.0889661017268951,2.3541255266318997,4.54535919043326,False
1,60.23060604590312,59.40738984326133,18.64251851163759,0.6110319371123164,0.7152041966610259,0.44428135488663567,-0.3349376717193072,0.5884225556889849,0.05902529134465196,0.7386268415444943,-0.1254474697494957,0.04271847321715944,1.794275267069904,5804.410872604401,True
