,mux,muy,Re,q,I,roll,bulge_dx,bulge_dy,bulge_scale,bulge_q,bulge_roll,bulge_frac,bulge_n,chisq,accepted
0,129.94027158524605,131.71547428952996,33.34943936553949,1.22294072241911,0.024913625586144152,-1.2219848157088369,-3.4465574689838228,-4.880348723006073,0.14797743280913386,0.4,-0.26705950061056655,0.25296427329405163,1.3275735320371063,1.8901111176106542,True
3,130.01723898966912,131.72213352202195,33.49896734888489,1.2194433341415543,0.02478507634318201,-1.2225649827329717,-3.523380317662785,-4.884436153826342,0.1481920492446872,0.4,-0.265926093592762,0.2534427662820171,1.3410477092936652,1.8902325451416246,True
2,129.9154660224356,131.8902616718769,33.56608665035714,1.218489229912264,0.024757539330932787,-1.2172107083450054,-3.4195892328963287,-5.062974395997101,0.14791281031936265,0.4,-0.26657721198183515,0.2530100786898598,1.3380064467069324,1.890299558664466,True
1,129.70470711410977,131.99630183731568,33.485172598609815,1.1772749098187802,0.026017803558898284,-1.2555074714896441,-3.5079337491413125,-5.273480396656578,0.15299270534443046,0.4,-0.2692673409921564,0.23499305710750024,1.073075004501893,1.9263705671027935,True
4,129.5910247974861,132.07932037441867,33.29050807075403,0.9966433072098633,0.0,-1.2987376281193668,-3.5943403697304417,-5.145361545028226,0.0,0.4,-0.5473533148273577,0.5497390435240165,0.935412047462461,nan,True
5,129.09509274296934,132.2749694029145,33.529705192503705,1.0506391890728972,0.22697277441364383,-1.4960950509915647,-3.8060229589950176,-4.983393013022051,0.0,0.4,-0.6925258315790431,0.35579611496809027,1.024452725733723,nan,True
6,128.72864276810563,132.3441730231682,33.83039911700016,1.2136075809531008,0.42924994157018337,-1.2045349294649883,-3.6087811234334772,-4.605309548919923,0.0,0.8402284267531404,-0.6599138309444059,0.6424344355333903,0.6,nan,True
9,130.08605493499311,131.67067494025076,33.417060935340324,1.2216956384071016,0.02481659235604415,-7.508280292001265,-3.595108783378189,-4.830820228011959,0.14855285927054607,0.4,9.159089609958768,0.2541154664695476,1.341904427937958,1.89029454563668,True
8,130.07987097430734,131.7513319113669,32.980861899550554,1.2337014969303215,0.02509604071361777,-7.514502379553239,-3.592645569842585,-4.924681913525255,0.14913167891360568,0.4,9.157880344704996,0.2552510123941975,1.3201705642820354,1.890369174556936,True
7,129.63259681665645,129.43804423820362,32.03628421071251,1.059010454975654,0.031053577420610136,-8.34792098871765,-4.90638902133001,-3.597516712083275,0.33136824459240094,1.2500400589050407,8.597594489738277,0.02015470494529597,0.7925126620273042,3.6535501189506854,True
