,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
5,70.61765543978822,69.39963078372578,19.539937108416154,0.9260402861414883,0.12879388361625094,-0.8356414816762493,0.6164328009731438,0.7982652969255577,-0.1146752448198595,0.0,3.6723372658757865,True
8,70.61765895268903,69.39963465480572,19.539941963465015,0.9260399831993995,0.12879386881364785,-0.8356393034992069,0.7705587881568933,0.7689357026723431,0.013288019403456168,0.0,3.6723372658766054,True
9,70.617667664506,69.39963904371061,19.539918836142736,0.9260407912808962,0.12879397331061634,-0.8356397020122431,1.0,0.9999998826643162,0.1774664872633455,0.0,3.672337265896076,True
0,70.6176591399231,69.39960261557219,19.540010894510207,0.9260367104108801,0.1287937118368886,-0.8356268788863036,0.8657815050073485,0.7853298597008248,0.9560485161911494,0.0,3.6723372661940057,True
2,70.61766233835372,69.39960761263576,19.539960615084357,0.9260406098140214,0.1287931818980619,-0.835636614816472,0.7468796766059549,0.8986387652058269,0.43486311666417315,0.0,3.6723372664278915,True
3,70.61764550843192,69.39963869131194,19.539947385707602,0.9260399445700476,0.12879327949799588,-0.8356349605036991,0.9490487187648061,0.990938574090995,0.22823757789952048,0.0,3.6723372664313674,True
1,70.61763672825936,69.39951679738333,19.539953071979287,0.9260322248025816,0.12879409164912312,-0.8356105765284713,0.548802085073201,0.5837018949475787,0.4987119615712292,0.0,3.6723372691073397,True
6,70.61769780714354,69.39950334900858,19.539870295456222,0.9260359693926329,0.12879496295416412,-0.8356260360707835,0.6591354161696297,0.589578624225825,0.2881324115047308,0.0,3.6723372693836396,True
4,70.61786275073091,69.39930944418194,19.540212205904123,0.9260352034807741,0.1287923156263953,-0.8356001660475388,0.8883327640371935,0.9884066520214587,0.17556620947075915,0.0,3.672337283493353,True
7,70.61679671056078,69.39992010171312,19.53967208047816,0.9260340640589246,0.12879614645778104,-0.8354683031020805,0.664592563926051,0.7782422502301639,0.35725049704562495,0.0,3.67233735940415,True
