,mux,muy,Re,q,I,roll,bulge_dx,bulge_dy,bulge_scale,bulge_q,bulge_roll,bulge_frac,bulge_n,chisq,accepted
5,43.31512280570973,43.91633101603164,13.789229867274496,0.7072396653955948,0.12131761397679147,-6.2977995396788735,0.5646329905187604,0.07993501887462347,0.186856165278449,2.5,4.219780177715201,0.03437879526893379,1.550738545020301,3.7813896885239835,True
6,43.317311861722295,43.92107577742375,13.788689794128675,0.707217389915738,0.12131588430955617,-6.297751778538975,0.5570532811374014,0.06606458080161852,0.18706575834569425,2.5,4.219333949032764,0.03441374262643332,1.5561344686879734,3.7813948901858234,True
1,41.86699636557411,45.64538668041452,18.263441558890126,0.7304486412542633,0.03255224797902024,0.3468164248807762,1.9374177334648317,-2.071022204917977,0.5895923315071402,0.6025481629279141,-0.26313212303409306,0.6259448443739369,1.151669422682267,3.943726654843741,True
4,41.75261139544165,45.71054800433687,18.38635454350816,0.7325030675116269,0.031219302829384007,0.35285329855837505,2.057306958455201,-2.1282107186018266,0.5881775618547531,0.6046139067226108,-0.2580398274913327,0.6360288670948682,1.150589073769779,3.943771748025676,True
0,41.78916955752159,45.869272827385004,18.18703514150372,0.7378883023238427,0.03167532780917427,0.3489424727626633,2.010423290117643,-2.3324211060709517,0.5948808931630121,0.6047949909656897,-0.25860939399606053,0.6371212525186768,1.1535354082352036,3.944678786597367,True
2,41.94180008502485,45.70427471986487,18.366662815331026,0.7219612706216313,0.030050852711016245,0.38093621657393273,1.834145190202609,-2.235288573985214,0.6231900663785461,0.5974987869150643,-0.21465423337226294,0.6599453316579291,1.2662737509940762,4.022527141245786,True
3,42.34458643692309,46.20424257819242,18.46659716779754,0.8114197354191117,0.018108852607364796,0.637368913509975,2.0613271122903,-2.496131959872907,0.604681496454005,0.5952259122298156,-0.10661272586379487,0.7595487487337832,1.0073940185024166,5.7027758978385785,False
7,43.105645520788336,43.61643114030694,14.198336587742832,0.589268097345461,0.4767939232741937,-6.256156662216313,0.3035726142873202,0.19364431873617788,0.0,2.40671937489145,4.331864019758234,0.4188645894401712,1.9267170790135864,nan,True
8,43.31704482161568,43.92041826068672,13.792271291107152,0.7071997744435096,0.12125607189935117,-6.29768693266288,0.5571844156820948,0.0673663846797922,0.18699234510691548,2.5,4.21968387374962,0.03443580148513242,1.5523864288916638,3.7813927388740156,True
9,43.48634831667486,44.144040397313745,13.349033932508927,0.21339836874892681,0.0,-6.683112156633568,1.023496420839433,0.32526797718941525,0.0,2.5,4.444608120836873,0.0,2.0176473535799238,nan,True
