,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
9,116.22072440226226,116.5426033821455,27.4186372963736,1.0,0.08815935571485269,0.29620511373135844,0.09186506615598884,0.730728306191926,-0.7472700507144412,0.03282640134370668,1.0541146546916818,True
3,116.20400220427413,116.54394591597759,27.37641106549745,1.0,0.08842281804164172,0.3324512455007375,0.07696890160600307,1.0,1.3431035421435367,0.023638893013273026,1.0543896510753332,True
5,116.18945922374112,116.54258125870969,27.3765458589078,1.0,0.08842293541383767,0.8913079736949208,0.07699990069127716,1.0,0.3703646708997576,0.023638643550086224,1.0543909916715792,True
4,116.2022356025178,116.5465774339496,27.271495495246043,1.0,0.08885334947621291,0.4467356958539925,0.07654114021736443,1.0,0.8717661287839308,0.02343263998159867,1.0543953794763326,True
0,116.20177342922847,116.55451563644908,27.25617027814133,1.0,0.08891562973021533,-0.05642405700283701,0.07655094867290291,0.9987988575478408,0.06026441084247462,0.023428071810756214,1.0543973290811044,True
8,116.03536807649682,116.73565479572036,25.06368392251397,1.0,0.10305210966847193,0.3852328035748307,0.0,0.8551439854799475,0.04172183688236469,0.5332322930896436,1.0768705070548936,True
1,116.03552188337883,116.73449956956995,25.062715766918675,1.0,0.10305691386988414,0.3491178230249058,0.0,0.9804438357797235,0.46190013559075965,0.18941819460398077,1.0768705117461546,True
2,116.02135577051526,116.7293673036,25.07428222172423,1.0,0.1030090450702068,0.6833746844396854,0.0,1.0,0.9594331685900528,0.09588632105195236,1.076871172241716,True
6,116.03560818087455,116.71217455879729,25.066345456403976,1.0,0.10304074380631224,0.8281014261812434,0.0,1.0,0.43175677540598073,0.454234632983703,1.0768720049692007,True
7,116.06478397046382,116.71381315674137,25.061377381804817,1.0,0.10306137695676805,0.6365508197882753,0.0,1.0,0.051578427837626284,0.4295819485366235,1.0768739267907022,True
