,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
9,95.51134597973915,95.34925222472529,29.021863418862527,0.7016380306325027,0.12562486286083496,-0.10084731697333672,0.268530044874392,0.4,0.08966686432220941,0.0580374874672092,1.0521028290462053,True
6,95.51112863236274,95.34877214286252,29.0243895788057,0.7015598210319255,0.12562369620095298,-0.1008530025657806,0.2682869541175874,0.4,0.0899243765437001,0.057995375793048955,1.0521028345451218,True
0,95.5103382172616,95.34952600837714,29.016795834906095,0.7015477794538493,0.12568879492443222,-0.10089001203617878,0.26784057544427237,0.4,0.091003033767934,0.057821161684344924,1.0521028851308336,True
8,95.51175530334076,95.34787601835895,29.008875780409838,0.7016675493686692,0.12572830755139355,-0.10069524719062363,0.2678021917631331,0.4,0.09132123708786773,0.057757638567291304,1.052102972567754,True
7,95.50925783845966,95.35132244467884,29.031558326325523,0.7015028516552807,0.1255876292227474,-0.10059889545140885,0.26828857445245546,0.4,0.0906258257909972,0.05803541979550741,1.0521029943645945,True
2,95.50906315814322,95.35155859627795,29.03050101566681,0.7016495307836236,0.12555279117229187,-0.1007015182644717,0.26899371361431745,0.4,0.08712995196260438,0.05822544426016284,1.052103060647112,True
1,95.50689281031016,95.34684207642061,28.999402038232468,0.7016838505559316,0.12579179569590335,-0.1010974059823381,0.26757525298077367,0.4,0.09188420227704247,0.05764166159231705,1.0521034530495572,True
5,95.576702911166,95.36654220753583,26.72023148781947,0.6861618602370367,0.15029134972440653,-0.09226666575165982,0.0,0.4,-0.5495663772871753,0.1045897606127072,1.0676366194760012,True
3,95.57668761522001,95.36653042477086,26.720218703430643,0.6861622074891977,0.15029138056014496,-0.0922668829603589,0.0,0.4,-0.2374796708323797,0.0,1.0676366194791114,True
4,95.57651638267124,95.36691351822293,26.720028840798946,0.6861924573046958,0.15028830665150733,-0.0922281773508225,0.0,0.4932658599371301,-0.283595997439219,0.32569317866043757,1.067636622147483,True
