,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
2,88.87370216015046,89.78194202441746,29.136219077458232,0.5694206412323414,0.0816467857291101,0.7439492100042673,0.9973978553744942,0.4,0.38843596501201005,0.28266122597281224,1.4957111826956127,True
4,88.87369046752661,89.78162141845071,29.13216100624932,0.5694675686165872,0.08163708356002006,0.7440080451196092,0.99967127481218,0.4,0.38860399962628794,0.28311797290074897,1.4957115074126806,True
8,88.87403530790273,89.78106341206399,29.135481683897048,0.5694462437736401,0.08162097138704748,0.7440923994185014,0.9997346621656288,0.4,0.3885862257122738,0.28319110742631354,1.4957115093917568,True
7,88.87381462014714,89.78148882238479,29.134573139399077,0.5694846137570581,0.0816144111199245,0.7441489606262576,0.9999890130730436,0.4,0.38854600741924533,0.283293189958824,1.4957115414509987,True
5,88.87362945166737,89.78181486528507,29.111273585269444,0.5697952748190365,0.08169975066323547,0.7437795577579845,0.9998791921070252,0.4,0.3889114511621097,0.28302304671157824,1.4957120802109756,True
6,88.87451303270782,89.7806466911719,29.156548253638906,0.5691455870496439,0.08185769128110966,0.7426891912819984,0.97756092605001,0.4,0.387889226990974,0.27781541957042005,1.495712789180029,True
9,88.8756011522616,89.77885432365893,29.263953414891994,0.5677180489229248,0.08141679848784891,0.7445458982948768,0.981744263297294,0.4,0.3862890405639937,0.2799382641112156,1.4957251724262228,True
3,88.87280753970482,89.78356349132928,29.014393187923435,0.5711077184003038,0.0820548590650463,0.7423417709644761,0.999999354132441,0.4,0.3905566801624396,0.28200316479613985,1.4957264360413416,True
1,88.69478106904018,89.98062144185856,25.158040917104195,0.5490614858311256,0.1287311208346756,0.6357630419287731,0.0,0.7038995782228764,0.21054638026435712,0.3650670325937553,1.5967306596861903,True
0,88.69458398184916,89.98063553149055,25.15814739538538,0.5490544837287569,0.12873152157604986,0.6357400536465936,0.0,0.8585304317903639,0.4587673175480179,0.0,1.5967306617403825,True
