,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
0,63.149768371294805,62.4844729139968,16.604841441907595,0.8943184723228693,0.1400119469242493,-0.03160255964826162,0.0004307938769207214,0.4,-0.4417238095953525,0.41857611025280983,1.692867050497525,True
9,63.17181171240818,62.515100901294296,16.659647694466628,0.8960271031179955,0.1391247066271053,-0.04352955845511817,0.00016862911658582452,0.7094905687224977,-0.6066768093998164,0.6294059147320997,1.6946274204713274,True
2,63.14152532946617,62.50817292669957,16.69557711950181,0.8949546182273241,0.1389443023736263,-0.024150463380515397,0.00012711427084242477,0.4229576894805818,-0.8658509745965818,0.95,1.6946725469501092,True
6,63.19420377953008,62.525924372542654,16.654419870041394,0.8939282318768769,0.1395010832070718,-0.02068973419070381,0.00033562260123363655,0.9988901809097508,-1.1095818715235517,0.13150202535852903,1.6953153523588915,True
8,63.18759341390942,62.529116066690605,16.650088023722443,0.8923145874976934,0.13971000158686112,-0.03299722205840546,0.0005412383053213912,0.9996571823096874,-0.9840499812071212,0.06171663439586833,1.6954697041282534,True
4,63.19999999110688,62.59999999393641,16.576693958475115,0.8988224242110323,0.13658946732710214,-0.044280680996082934,0.5453892013347332,0.40816471409120114,-0.9648577101464055,0.057897296568076136,1.756017594996243,True
5,63.19999998072196,62.59999999397509,16.602765043346682,0.9014339155550333,0.13388060872288834,0.07891725196718789,0.6501371225115361,0.926697563181865,-1.4530750151554286,0.04584521898724294,1.7697393376842887,True
7,63.19999999104125,62.39999999867278,16.745017495988474,0.8865473689829464,0.13504998507913588,0.0041382475132668494,0.7082320790017096,0.6603532457738492,-1.4745836509198789,0.050870920044526244,1.7700913825670888,True
3,63.16212350649254,62.313935625244454,16.28836090331992,0.8902459357733917,0.14621034925703136,-0.03160168305768224,0.0,0.4,-0.9004030662783526,0.95,1.8238479619834307,True
1,63.16228362154179,62.313668823878714,16.28854447934533,0.8902331152264279,0.14620937513609478,-0.031637364928276124,0.0,0.4,-0.868911554148375,0.7214074820450885,1.823847980162964,True
