,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
8,48.397425714888755,48.87066710280452,14.577027529921217,0.8415314816610429,0.029825831283564974,-0.7533059994755894,0.08742558359210965,0.48532596460081945,-0.7326162487863365,0.23878804303784282,1.5421560733447324,True
0,48.397265424723805,48.87066020752367,14.578971837780228,0.8415168221434413,0.02982023136258195,-0.7526114964829886,0.08738666452060265,0.48620789702891276,-0.7331792849194517,0.2384595659150103,1.542156361877866,True
4,48.39999987909307,49.00000048592505,14.711306294623359,0.8775194651003003,0.0242501986545294,-0.9295413931385198,0.37542548110322455,0.6771172245030673,-0.5227446199254431,0.2910546500823781,1.729460436484118,True
7,48.19999999452277,48.79999999701331,14.486701017972175,1.0,0.020081378512903106,-0.7755651578569093,0.6797103566731373,0.4224926883258267,-0.6817573950084858,0.5464870548310262,1.7828897660969951,False
6,48.39999999151998,49.19999998961384,14.709652812906926,0.8791962565613775,0.02393254397192202,-1.1849968911840782,0.5287813132803623,0.47475359775141335,-0.5326392072577104,0.40809449423172234,1.8241368488684457,False
3,48.40000001275077,48.79999996065087,14.05294583298157,0.848019907640361,0.028095641085390307,-0.9302014286981442,0.3211885686692585,0.9270886070948618,-1.0640082298140832,0.20057096966492216,1.8356626956723947,False
9,48.31680197812013,48.76046631654169,11.110722061534196,0.7598696419685775,0.05524894088484543,-0.7435391033102128,0.0,0.5531116818028317,-0.577949920248021,0.02902968138638959,4.593717107948443,False
5,48.31680086312549,48.76046921177285,11.110725334515912,0.759869022963209,0.055248949345524295,-0.743539209496591,0.0,0.4,-0.7468073419530232,0.7679953364277939,4.593717107954504,False
2,48.3167834865404,48.76048459195513,11.110608779052424,0.7598736051904311,0.055249272855868024,-0.7435557779819473,0.0,0.4,-0.4954735925117718,0.022074434928782388,4.593717109453146,False
1,48.31678142963257,48.76055565532128,11.11035848717911,0.7598771791453831,0.05524945421148978,-0.7435531992134773,0.0,0.5849141026268152,-0.38944889498529733,0.0,4.593717130416384,False
