,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
4,76.49577996510827,76.99003159522363,25.848073715101695,0.5488736980462231,0.1461757663536027,0.965729850159971,0.025613932211484412,1.0,1.8840499367671264,0.00661440337887211,1.1409749025377462,True
8,76.49577654749164,76.99001234101073,25.848080905300904,0.5488739462031579,0.14617562229891942,0.9657285861039835,0.025614989314279458,1.0,1.6297399431514783,0.006614437031067345,1.1409749025627436,True
6,76.49578530011999,76.98999475099758,25.848052757338362,0.5488763070447316,0.14617496359598217,0.9657387382471991,0.02561629292119665,1.0,1.5652599686770918,0.006614750129044908,1.140974902917618,True
9,76.49558334694852,76.99012019682128,25.847038704041662,0.5488691804731279,0.14618489403234056,0.9656965145385655,0.02559407928094552,1.0,1.8766896207128356,0.006611651502084241,1.1409749157685127,True
3,76.49596822579625,76.99019098573183,25.84659406333524,0.548923293243274,0.14617847977296597,0.9657332584204955,0.0256069079096705,1.0,1.692595615942807,0.006614255885067523,1.1409749216838947,True
1,76.39999999262984,76.99999999422656,25.94906178871782,0.5468443518253358,0.14230117971277056,0.9457751169556021,0.47774007964714693,0.4,1.6918601616514402,0.043294476525587273,1.1472413574930063,True
2,76.59999999481387,76.99999999756798,26.065094295837653,0.5430153088657981,0.1415557591993983,0.9493577732954912,0.5077466405092356,0.4511178044552874,1.7823969084534632,0.04472990412821933,1.1477988593347348,True
0,76.39999999537665,76.99999999565684,26.448411545247527,0.5357163662598061,0.13765348795834415,0.9364550982768302,0.7942953335209806,0.4190883148994308,1.6242213624438941,0.07373739140884021,1.1509214113800539,True
5,76.52064016438787,76.93369534079025,24.884047832168815,0.5512424315817572,0.156104216825226,0.966917606127504,0.0,1.0,2.00785589583071,0.0,1.1750274988102751,True
7,76.52088299265561,76.93367174074378,24.883948171839016,0.5512553137199149,0.15610135732532532,0.9669084291260679,0.0,1.0,1.7642771189068154,0.4159217914469815,1.175027501931109,True
