,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
1,88.28186425492,88.3258148393924,29.192062787221158,0.5786596136573738,0.09315986859027059,0.3240764474419357,0.5123427909517738,0.45970616470128556,0.8117848446941534,0.12539854079639082,2.023343938681226,True
9,88.28156236394065,88.32552409901615,29.193321879872695,0.5786561862092804,0.09314849454177279,0.32404848704833505,0.5127375137239887,0.4597162242177644,0.8117491198104767,0.1254738223653505,2.023343942869552,True
0,88.28115498395583,88.32574559097641,29.192637661028293,0.578651123266393,0.0931542642861095,0.3240488197069616,0.5122034438871796,0.45997521382864376,0.8119435782846629,0.12535281681392485,2.0233440334354382,True
3,88.28166563655464,88.32541849879429,29.195501367482752,0.5786161613673299,0.09314541305191205,0.3241447755546575,0.5120297382699277,0.4602528475369526,0.8115119736815858,0.1252868868556323,2.023344035204177,True
6,88.28132370244755,88.32411983329018,29.194135488751108,0.5786293942696763,0.09314151408448737,0.32403474668438137,0.5130534775545922,0.45990796748067686,0.8116170316710707,0.12550205791301747,2.0233441380904322,True
8,88.28146816162912,88.32605963570406,29.187630810254053,0.5787365048290669,0.0931645729805049,0.32422760598099565,0.5124473778353433,0.46043239555454457,0.8108920737494768,0.12529886325674716,2.02334415427174,True
4,88.28041764213816,88.32605397770679,29.1952730652885,0.5786111397078775,0.09319654410185359,0.32433975541606125,0.5090918891032589,0.45970182404020793,0.8120556187725376,0.12473835874455474,2.0233451328339473,True
5,88.28100144614496,88.33232463576456,29.185893504426215,0.5787353402131619,0.09320496886422718,0.3245092616021146,0.5099571684184013,0.4610858402117913,0.8115044304724935,0.12467806993986974,2.0233472051235437,True
7,88.28134896197642,88.32615024125427,29.224165274213732,0.5782159170464992,0.09300484883403642,0.3236368075691172,0.5148781149773155,0.460160456134168,0.8126491944933976,0.12605373697146796,2.023347862953536,True
2,88.28194971810599,88.32478733378557,29.126657733537442,0.5796374191207347,0.09345934460144577,0.3251435916222752,0.5069696762388501,0.45918335087672935,0.8086662952445528,0.12404059406900982,2.023360918510029,True
