,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
2,48.58888966125258,49.40313416681008,18.1287899287682,0.6100873193993759,0.13404652437065123,-0.1435613308147498,0.059706311751650705,0.4,1.1444640028537798,0.019450228998935972,1.6904469143210685,True
6,48.527355330477114,49.42740389147739,18.001084037502228,0.6122545994567777,0.13574635192561588,-0.14083106710285884,0.0004723284718128578,0.4,0.49290411143535573,0.43206943223677496,1.6916346728382485,True
9,48.58214187334417,49.210772414775654,18.127992758939165,0.6099065524128694,0.13411927513030691,-0.14306652959727076,0.0533847688797861,0.4,1.1170855268113624,0.021304420067730007,1.6930003079646125,True
0,48.59999994014627,49.20000003409591,18.312963055825264,0.6030512605344397,0.13240063088595283,-0.139488250180927,0.198943108693977,0.4,0.8960968620529691,0.023002694110843557,1.6973235459926914,True
1,48.599999998758435,49.39999999881352,18.46198452070035,0.5941038276083291,0.12872842223325998,-0.16890965161414861,0.5067125544526084,0.4,0.7938163840817959,0.0695111492616182,1.7186254646432715,True
8,48.59999999839659,49.199999999167815,17.844053535727166,0.6087351651867423,0.1307631064787316,-0.16563943003278872,0.9404672108180152,0.5526841409847476,0.5895585570651711,0.08063866068422626,1.7728915808556618,True
7,48.599999998749354,49.19999999737306,17.774418540075146,0.6140594642054356,0.12902723793893317,-0.16897079474421917,0.9615071638384506,0.5826019628668287,0.44927159825695556,0.09436745531961722,1.7804864694454667,True
3,48.51179545965863,49.28624396566207,17.271642205464985,0.6142853906090263,0.1464382836029137,-0.1388950355707302,0.0,0.4,1.0388690650455565,0.05449488713918957,1.8917955368599115,True
5,48.51181265208337,49.28624381558514,17.271674919322063,0.6142887728331557,0.14643731765810877,-0.13890198108205737,0.0,0.4453720116816867,0.8333431793447654,0.5333210024131032,1.8917955369585633,True
4,48.51182808424001,49.28623988158084,17.271627869753,0.6142873497998291,0.14643835554937762,-0.13890095091403296,0.0,0.4,0.5684861684194663,0.49129526389680545,1.891795537064642,True
