,mux,muy,Re,q,I,roll,bulge_dx,bulge_dy,bulge_scale,bulge_q,bulge_roll,bulge_frac,bulge_n,chisq
Gradient Descent,69.83326915673491,69.03349641927468,11.586082702370453,0.3796171451749288,0.09225548423246752,-0.17603949035635438,1.04162412999241,1.4904040207343927,1.0,1.9688421870037178,-0.21760013617164511,0.6139898665331193,0.8096612345393658,1.5839249516665863
Basinhopping,69.83240890938066,69.03770875237049,11.589078573125308,0.3789616193975982,0.09216704024207671,-0.17646542973543225,1.0425952740772273,1.4852335614772123,1.0,1.9679276704544555,-0.21762166795208826,0.614295328410481,0.8100709698012377,1.5839243752146979
