,mux,muy,Re,q,I,roll,bulge_dx,bulge_dy,bulge_scale,bulge_q,bulge_roll,bulge_frac,bulge_n,chisq
Gradient Descent,92.20204912846327,93.3710045566602,27.465180344579846,0.7311637445211556,0.08118247529158508,-0.13348819655022745,0.48953970984111195,-0.4565236903586723,0.4057901266394488,0.5135331570087378,0.12784365449201887,0.14974159515623228,2.4514177726350854,1.0580682769753045
Basinhopping,92.18949445968745,93.43426374368865,27.401406290286936,0.7319153046487467,0.08132753074736854,-0.1332672972627844,0.5129380750234211,-0.539092912655655,0.4117720656665645,0.5145213093472484,0.12627991884279086,0.1507836923831544,2.4867498426882686,1.0580669196889891
