,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq
Gradient Descent,41.58260228804726,42.556984623776025,24.816495019580426,0.9999984396805962,0.0014401888294533526,0.0541816074932253,0.45234917332743857,0.8243592457476389,0.27562541189347045,0.95,4.047017192941121
Basinhopping,41.57970200830217,42.58018256164552,11.429297973025209,0.6982964023394167,0.0792587161487149,0.27873596841929105,1.0,1.0,2.290726843446033,0.41510712121010324,4.029662763178568
