,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq
Gradient Descent,66.69643863865953,66.96910818163356,15.486215228029454,1.0,0.11017997135102284,-0.020966043407393466,0.1891520006958537,1.0,-0.016937135844955115,0.0733645732243276,1.38095890986196
Basinhopping,66.71407077752914,67.00748006091334,23.07060165763526,0.7760915764175829,0.0505253339630306,-1.2202295125316942,0.4642273917748722,0.4,-1.4713477260712773,0.475313285735429,1.0586585098390329
