,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq
Gradient Descent,113.91808432412675,115.17560181182226,31.962895816637523,0.7842966298114687,0.09479629572566384,-0.41222865221309624,0.18961759979735363,1.0,-0.018390626593450574,0.03640867593004739,1.0714325348533502
Basinhopping,113.87141621818566,115.23471684579597,32.115830695670596,0.7696830699268741,0.09549423312603393,-0.326334138370443,0.2655375085677536,0.4,-1.3578369576896037,0.08539835564849048,1.0640354380845596
