,pa,sigma
21096798,10.462978876792949,0.8999581571108614
21096895,5.248402078527917,1.2566701261687034
21096872,20.37724353914713,1.4328808511407576
21097009,14.778498800424344,1.056755943389671
21686553,27.15101141631862,1.0022646751020268
21686558,,
21686502,,
21686515,,
21686495,,
21686607,12.068529276502014,0.8637418255250457
21686517,,
21686608,,
21686575,27.561079894671618,1.0975649378126482
21686572,22.72684183381488,1.0538225140750872
21686554,16.627136649284946,1.0879995813834658
21686600,29.665014821699142,2.526065902046377
21686513,30.682875767494473,1.229332648048772
21686610,10.350076783251396,0.7606078827327326
21686604,,
21686537,13.973104275941862,0.671042500385924
21686559,,
21686498,,
21686556,44.46622661848663,2.1550274852468028
21686544,,
21686615,28.823863560132306,0.9636300228136768
21686606,15.346849759905224,0.7596270111338544
21686557,26.082888083948045,0.7731667391918177
21686566,35.057434867334386,0.6446036765907172
21686570,14.479355506658202,1.1537540889579598
21686613,,
21686523,15.219918942803385,0.7494206438982377
21686510,23.414647628473006,1.8129377854266162
21686529,16.694684776487627,1.0045151082470158
21686585,8.453229582435675,0.8076523071105017
21686568,9.530912632735314,0.7643360970686319
21686548,,
21686612,5.958162459790656,0.7032892687239305
21686587,16.335894474353896,0.42508967666998493
21686542,13.170396188641117,0.979536771311231
21686579,6.899510725225848,1.0199324125971598
21686501,,
21686603,10.032615762201482,0.9377682352718736
21686602,18.290028548938878,0.7673278654242385
21686583,12.783526614954402,1.1100127954272943
21686595,,
21686497,,
21686577,,
21686546,,
21686592,12.434068972150401,0.715363846894682
21686597,18.643235546922195,0.6659330312037669
21686574,,
21686567,,
21686571,9.729493178758489,1.5087796062420415
21686598,16.938755334917268,1.7181639224600684
21686582,22.213124800485467,1.099880654527243
21686539,25.763440757631773,0.8911220157556042
21686564,19.368017555809526,0.9859492689450278
21686594,35.73869772095787,1.6838342614337038
21686588,12.43501355640568,1.0982068584412035
21686503,,
21686561,16.05527160688849,0.8390221374807412
21686532,7.083889281633548,0.9448879997841608
21686605,14.611021852740638,1.3155888044352224
21686573,5.9137517783488285,1.5023838190614192
21686578,,
21686555,20.052859407105448,4.693981552359811
21686599,23.07317047961511,0.767277608419312
21686563,23.583074856245755,1.975006339380837
21686552,,
21686593,28.554417635059476,0.4552256470168728
21686521,,
21686549,47.59195385801858,1.0412075853688771
21686596,13.84695674236652,0.813702859849304
21686500,,
21686569,7.657085482110121,0.8176490890312615
21686496,19.247997839518593,0.9053667264205857
21686519,19.964973332623828,1.0957516114087504
21686550,,
21686499,,
21686526,18.921616635969656,0.8786417161852585
21686576,21.073246097789497,1.2669104804421976
21686614,,
21686611,,
21686508,,
21686535,11.884308495040951,1.6138428550004196
21686580,10.733646708411158,0.6266311330495895
21686562,,
21686591,16.45167542368658,2.211601456641737
21686545,11.259053690959735,1.1627332837739932
21686543,,
21686505,24.34177499771918,1.5877657470120976
21686586,17.06672388656734,0.9027255084627499
21686589,23.72029646700744,0.9518959041546017
21686584,18.061793429009896,1.0001275355541637
21686560,,
21686551,17.869389233279055,0.6948421597565019
21686547,21.244484627678354,1.8365746562032037
21686590,,
21686581,16.676694892701715,0.5521170231513223
21686609,17.618956220084986,0.8747541847556877
21686601,20.447923311048417,0.7017011398345422
21686565,,
