,pa,sigma
20902000,5.683464434642205,1.109114746990814
20902007,20.054397007163182,0.39570980513797394
20902023,,
20902031,,
20902048,,
20902059,22.72092164227116,1.7625767146456932
20902062,24.57127966337004,1.47492128743779
20902073,18.13925810949031,1.135619394017873
20902086,33.34747865537054,0.7607472596249711
20902008,20.316216071542883,1.2462648843862332
20902018,,
20902040,12.760383046759442,1.237426880140668
20902052,16.3630669956364,0.4110846141990383
20902053,16.520109845143757,1.1169552761077253
20902055,21.69460315422985,0.8225560485625335
20902060,11.223720290582165,0.6823309472956723
20902061,,
20902064,25.460346051225084,0.569813371283938
20902065,12.180928704635146,0.888597369558691
20901992,18.99493816349337,1.3167103581214537
20901996,11.352240204136274,1.0527288731615796
20902002,35.54528116111668,0.7538967990292658
20902013,16.422465054354564,0.5710669100919615
20902015,,
20902017,,
20901998,25.017368663665206,0.9463066861326945
20902005,,
20902016,11.584227992308925,1.1157577006044208
20902051,12.068163075756202,1.0055654921880897
20902054,14.305083527951657,0.9014209165376783
20902063,10.248082891073555,0.48087786030719837
20901994,,
20901990,24.29730812025284,0.9347242957120743
20902001,26.023915533632522,0.6457919161569955
20902003,,
20901995,13.51928663997592,0.9634502719980064
20901999,,
20902026,42.80576608356381,1.6675893655818228
20902027,40.55349770317436,3.3384823252504945
20902030,,
20902049,,
20902066,,
20902068,19.276885487197816,0.5775239719882905
20902074,17.032912014131373,1.3804358621070347
20902076,12.63751007446983,0.951106785920781
20902078,10.982611247107071,0.5047079614558555
20902022,17.223934749975868,0.9021924451222437
20902032,13.039430909292077,0.6226055738254583
20902033,11.741077580305713,0.933256922450039
20902037,40.34571486632549,0.6144459891284346
20902070,21.73305682080396,0.7468747927750594
20902071,33.68206853923185,0.8735788428540764
20902072,10.839369633735483,0.6808306263220588
20902079,,
20902083,4.853647578781866,1.2028740183920599
20901993,17.386486520336337,0.9553353937849535
20902010,11.75612621091816,1.1393752885400674
20902011,14.494728683075012,0.5625593967667198
20902014,,
20902019,55.70074535762605,0.8727272053635331
20902035,23.72478777153258,0.7229723986140818
20902006,17.261473958342737,0.7430542548914091
20902029,13.73806242661711,0.9412707023549182
20902012,34.64050337342793,0.7704468342096403
20902043,23.212225235526812,1.324023496869405
20902046,27.66315691352583,0.9666546203202259
20902004,17.006137286024188,1.0910279281746371
20902020,,
20902025,11.82751940634428,1.2199347344595548
20902028,23.48166726517581,0.6902849370844306
20901991,,
20901997,,
20902009,12.01144022430866,1.3427659296590975
20902021,20.657805991252598,1.3092248131509048
20902045,,
20902024,31.170559784737613,1.1396423031908742
20902042,,
20902056,,
20902038,,
20902041,14.337941004428767,0.7015964245671497
20902057,21.60297225388266,0.5587903909047044
20902069,,
20902075,,
20902080,15.502098752078542,0.637562119527728
20902085,,
20902044,18.275968225184187,1.4263796814521952
20902039,12.06837688710648,1.4039706736453352
20902036,,
20902081,19.003622329303877,0.8423588968991578
20902082,34.58234717401261,0.9012076427591486
20902077,15.565385972389693,0.7787452718483935
20902050,,
20902084,37.19499898002883,3.0178235102370556
20902058,,
20902034,12.167722266814975,1.7661807109692502
20902047,20.579242096857932,0.6932256375468403
20902067,18.583693823172062,0.8097990484752251
21097008,13.001594916142972,0.8790232465430352
21096966,10.893850415098338,0.6802061757418478
21096794,5.180017626174257,3.371674802421342
21096824,13.801669400841439,0.5476324563562464
21096992,,
21097001,3.8651779059425304,0.7664110104589155
21097016,10.94448144662854,0.6650699756871622
21096853,36.99489147023314,1.3521749461089534
21096836,14.340111385157678,1.0277319917874204
21096811,34.32750881551469,0.486007998474762
21096870,13.350446730792154,0.7867884531533192
21096924,16.85795888127273,1.3904500934003403
21096815,,
