component,bar,bar,bar,bar,bar,bar,bar,bar,bulge,bulge,bulge,bulge,bulge,bulge,bulge,bulge,disk,disk,disk,disk,disk,disk,disk,disk
parameter,I,Re,c,mux,muy,n,q,roll,I,Re,c,mux,muy,n,q,roll,I,Re,c,mux,muy,n,q,roll
20902000,,,,,,,,,0.22002787189428347,0.09154928708062943,0.0,0.2482611484850802,0.32325920843018185,0.9659606617248965,0.033282099549418964,1.4165402569257433,0.14963325873962524,1.0414579519407843,0.0,0.25662317656676054,0.42918225549530215,0.0,0.045065247287809654,1.1921075757088329
20902007,,,,,,,,,0.050731442202878174,0.12400758187868566,0.0,0.1261172526261697,0.13377436160533407,1.7886223749019803,0.19437322089452017,2.0167201639973085,0.16597677232634667,0.6523285010211873,0.0,0.8071973148545282,0.799659292164584,0.0,0.05227903730953473,1.5111883220364004
20902023,,,,,,,,,0.20875195235479968,0.18898589776572045,0.0,0.11979468024978997,0.19480399176981508,1.477257286632593,0.0772426724300395,1.4976444785501453,0.018487540566514023,0.5713006898240501,0.0,0.5320711600725915,0.4031823600886446,0.0,0.11370539018074455,0.4338466420068601
20902031,,,,,,,,,0.30106108748232885,0.26036541731587004,0.0,0.168925361197266,0.20961117560689646,1.2332252204866896,0.16194252431817108,1.2360812708318463,0.04499529267474173,0.8597585940592045,0.0,0.3809544228763931,0.2980796695739382,0.0,0.0737253367194916,1.6059082359581018
20902048,,,,,,,,,0.38522825433997604,0.017836134324314586,0.0,0.29162187828888014,0.06797591705889723,1.176194428371999,0.06220363062665311,1.5187847125721232,0.53509792064451,0.4296120860640951,0.0,0.36249747110056035,0.43013911066879473,0.0,0.16081535143800932,1.0736150987961122
20902059,,,,,,,,,0.013064817711710941,0.05676318784700489,0.0,0.20807791282002122,0.09288741381207696,0.012583057392117928,0.052546991207355044,1.1977800601365425,0.03508857015886878,0.8644574677333106,0.0,0.43485244754523694,0.418669163433978,0.0,0.14223416525640067,2.0225812629434157
20902062,,,,,,,,,0.4136103373827274,0.030693617206665236,0.0,0.12058666050201267,0.0631618139399941,0.7197684812956641,0.049177538134889225,1.5727137620373735,0.10727666935880706,0.5068833728117309,0.0,0.3538874879766305,0.26231255755872357,0.0,0.07664420598059882,1.6357011504294952
20902073,,,,,,,,,,,,,,,,,0.20925566631766793,0.35329794734929626,0.0,0.5176065252365413,0.4195192129032537,0.0,0.073722948205183,1.3490977922363954
20902086,0.0,0.03473346585408806,0.0,0.20451950693643348,0.11950060279122052,0.0,0.03771597830127763,0.917278791104082,0.6138324139049378,0.09741202092911741,0.0,0.09347177779438332,0.11186595321790124,1.529584148279089,0.17020751047467048,1.5437199356701288,0.22503199337643584,0.7396143451079902,0.0,0.2602740247408573,0.37820836035740857,0.0,0.07760124734342803,1.5079443160440358
20902008,0.6342304143816553,0.23473056146717639,0.1885912687975417,0.36780330439632636,0.4515998969197233,0.3441414437892265,0.050809910978132644,0.0970180668613988,1.370531108892376,0.054495374125251954,0.0,0.08171385127288879,0.20722878018532656,0.4701418225741391,0.06467084747964374,1.7965351683487039,0.45516849123105624,1.015842460895881,0.0,0.3125381995627962,1.228274757834818,0.0,0.1409135661603765,1.9937087739910653
20902018,,,,,,,,,0.12112552069732745,0.13304467129050462,0.0,0.24644252208626263,0.12780129638944293,2.033136602504722,0.0054585943014150585,1.6863189367845088,0.08665211419757209,1.314307573932441,0.0,0.6242470455915144,0.37088747031404784,0.0,0.05721553729388277,1.3329449105555509
