subject_id,m_tot,m_aper,BT,r_tot,ba_tot,BT_aper,xctr_bulge,xctr_bulge_err,yctr_bulge,yctr_bulge_err,m_bulge,m_bulge_err,r_bulge,r_bulge_err,n_bulge,n_bulge_err,ba_bulge,ba_bulge_err,pa_bulge,pa_bulge_err,xctr_disk,xctr_disk_err,yctr_disk,yctr_disk_err,m_disk,m_disk_err,r_disk,r_disk_err,n_disk,n_disk_err,ba_disk,ba_disk_err,pa_disk,pa_disk_err,GalSky,GalSky_err,chi2nu,finalflag,autoflag,pyflag,pyfitflag,ra,dec,dr7objid
20902037,14.7549,14.8135,0.0816314,10.5429,0.664654,0.0861,361.92,0.03,238.51,0.02,17.4752,0.025,2.79473,0.0616968,1.4067,0.0346,0.453,0.0057,60.6283,0.5591,361.65,0.07,238.0,0.05,14.8473,0.003,14.0566,0.0589401,1.0,-999.0,0.6637,0.0021,-78.048,0.3878,21.1901,0.000106864,1.09806,5121,2048,62,0,166.746,23.0063,587741828047175800
20902038,14.9374,14.9374,0.213663,5.05593,0.616328,0.213663,251.45,0.01,251.91,0.01,16.6131,0.0437,2.14925,0.110048,2.702,0.0989,0.6341,0.0084,-77.3278,0.7848,252.06,0.02,251.32,0.04,15.1984,0.0104,7.86049,0.0433911,1.0,-999.0,0.5629,0.0049,18.8219,0.2015,20.8616,8.86532e-05,1.02699,5121,128,62,0,167.764,19.1916,587742572684378218
20902043,15.2377,15.3438,0.140036,13.8041,0.941672,0.1542,125.7,0.03,473.54,0.07,17.3721,0.032,5.70311,0.148936,1.318,0.033,0.3393,0.0046,7.2071,0.3589,125.11,0.16,476.76,0.16,15.4015,0.0056,16.5505,0.143131,1.0,-999.0,0.9204,0.0076,-66.5277,3.6768,21.4434,0.000139896,1.04767,5121,2112,62,0,214.904,38.2343,587736584964604113
20902044,14.8401,14.9225,0.154508,5.28442,0.541328,0.0974,236.84,0.06,236.82,0.04,16.8677,0.0993,19.8144,5.58796,8.0,0.9723,0.2684,0.0094,81.7412,0.6987,237.24,0.01,236.11,0.01,15.0223,0.0038,5.05576,0.0117614,1.0,-999.0,0.9196,0.0021,49.2951,1.5969,20.9438,8.37792e-05,1.08105,5121,64,62,128,170.534,4.69282,588010359082123398
20902045,15.7953,15.8306,0.262051,6.49317,0.839856,0.266,288.28,0.04,302.1,0.04,17.2493,0.3463,3.85205,1.10924,2.0935,0.2631,0.8051,0.0179,-28.5898,2.8043,288.26,0.1,302.31,0.12,16.1252,0.1149,8.30691,0.159942,1.0,-999.0,0.8445,0.0073,-19.2272,2.9883,20.7943,7.7384e-05,1.0135,3073,0,62,0,120.03,55.3497,587738197189722386
20902049,15.198,15.198,0.368852,4.51773,0.698918,0.368852,215.35,0.01,215.22,0.01,16.2809,0.0515,1.96388,0.166122,4.4665,0.2355,0.5712,0.0053,20.5073,0.5487,215.38,0.04,215.28,0.06,15.6977,0.0233,7.40798,0.0562821,1.0,-999.0,0.7193,0.0036,-2.1389,1.0417,21.073,9.9714e-05,1.07008,3073,0,62,0,139.267,20.0935,588023046941311273
20902050,14.5618,14.5618,0.362932,8.09868,0.647434,0.362932,316.77,0.02,317.17,0.01,15.6623,0.0428,8.14659,0.515869,4.5043,0.113,0.5291,0.0039,-86.8442,0.3929,316.01,0.05,316.1,0.03,15.0514,0.0123,10.1338,0.0516972,1.0,-999.0,0.7488,0.0028,-58.6594,0.5371,21.1647,0.000109493,1.06846,3073,0,62,0,244.925,37.8063,587733441051689131
20902057,15.0898,15.1206,0.100624,7.39554,0.853422,0.0936,336.13,0.02,252.05,0.03,17.5831,0.0677,4.50292,0.590555,6.1981,0.4643,0.1898,0.0079,14.0339,0.493,336.03,0.04,252.2,0.04,15.205,0.0041,7.81936,0.0363475,1.0,-999.0,0.9799,0.0037,-48.2873,10.5169,21.0476,9.97553e-05,1.08585,5121,64,62,2048,202.578,32.5144,587739405714915421
20902058,14.698,14.8165,0.258858,10.2672,0.784073,0.198,203.16,0.03,225.33,0.02,16.1653,0.1162,17.4984,4.01366,8.0,0.6026,0.3975,0.0085,-79.9134,0.5698,202.93,0.05,225.55,0.06,15.0232,0.0086,10.4341,0.050634,1.0,-999.0,0.9117,0.0035,-10.3771,2.0712,20.9734,9.31363e-05,1.00988,5121,64,62,128,180.69,39.0963,588017977817825371
20902061,15.7988,15.7988,0.289763,3.17542,0.620975,0.289763,91.3,0.02,167.1,0.02,17.1437,0.0751,0.911038,0.14161,8.0,1.1964,0.3158,0.0112,-84.5918,0.7568,91.0,0.05,167.31,0.03,16.1703,0.0178,5.26692,0.0366133,1.0,-999.0,0.6554,0.0041,78.7884,0.7108,21.1108,0.000204095,1.09162,5121,64,62,128,206.017,45.3103,588017115050999842
20902063,14.6521,14.6521,0.30084,11.2392,0.89444,0.30084,408.13,0.01,408.5,0.01,15.9563,0.0851,4.34475,0.783724,7.911,0.6133,0.7163,0.0088,-66.0671,0.9149,407.42,0.09,408.45,0.08,15.0407,0.0181,15.1819,0.127117,1.0,-999.0,0.7793,0.0059,46.8885,0.6722,20.6809,3.65765e-05,0.98579,3073,0,62,128,235.46,5.85374,588017990703317218
20902065,15.0609,15.0609,0.256919,5.53438,0.725783,0.256919,260.87,0.01,260.69,0.01,16.5364,0.0272,3.04219,0.123473,4.1608,0.1035,0.2445,0.0038,60.0739,0.2084,261.11,0.05,260.77,0.04,15.3834,0.007,7.17959,0.0310316,1.0,-999.0,0.8675,0.0037,82.1619,1.7633,21.0515,9.8119e-05,1.09715,5121,64,62,0,125.366,12.3926,587742062121582703
20902066,14.9956,14.9956,0.576508,5.43059,0.848996,0.576508,213.31,0.01,111.09,0.01,15.5936,0.0327,3.91398,0.203148,4.8558,0.1142,0.5659,0.0028,-13.3146,0.3269,211.92,0.08,112.7,0.09,15.9285,0.0277,9.03737,0.120804,1.0,-999.0,0.839,0.0083,46.3688,3.1043,20.7423,0.000147664,1.06843,3073,0,62,0,353.431,-0.569577,587731185664196742
